Date,Message
2026-01-16T16:55:00.000-05:00,"2026-01-07 20:35,25838.5,25838.75,25815.5,25821.75,17781"
2026-01-16T16:55:00.000-05:00,"2026-01-07 20:40,25821.75,25840.5,25814.25,25832.25,11644"
2026-01-16T16:55:00.000-05:00,"2026-01-07 20:45,25833,25841.75,25826.75,25835,8666"
2026-01-16T16:55:00.000-05:00,"2026-01-07 20:50,25834.75,25847.5,25833.75,25841.25,13625"
2026-01-16T16:55:00.000-05:00,"2026-01-07 20:55,25841,25842,25818.75,25834.75,19761"
2026-01-16T16:55:00.000-05:00,"2026-01-07 21:00,25834.75,25836,25823.5,25825.5,8217"
2026-01-16T16:55:00.000-05:00,"2026-01-07 21:05,25825.5,25829,25822.75,25826,2494"
2026-01-16T16:55:00.000-05:00,"2026-01-07 21:10,25825.75,25828,25821.5,25826.75,2344"
2026-01-16T16:55:00.000-05:00,"2026-01-07 21:15,25827,25833.5,25820,25831.75,2822"
2026-01-16T16:55:00.000-05:00,"2026-01-07 21:20,25832.25,25835.5,25830,25832.75,1275"
2026-01-16T16:55:00.000-05:00,"2026-01-07 21:25,25832.25,25833.75,25827.25,25830.75,1112"
2026-01-16T16:55:00.000-05:00,"2026-01-07 21:30,25830.5,25831,25828,25829.75,1165"
2026-01-16T16:55:00.000-05:00,"2026-01-07 21:35,25830.25,25833,25827.25,25831,1242"
2026-01-16T16:55:00.000-05:00,"2026-01-07 21:40,25830.75,25832.75,25829.75,25830.25,1284"
2026-01-16T16:55:00.000-05:00,"2026-01-07 21:45,25830,25835,25829.75,25833,1517"
2026-01-16T16:55:00.000-05:00,"2026-01-07 21:50,25832.75,25837.75,25829.75,25836.5,1202"
2026-01-16T16:55:00.000-05:00,"2026-01-07 21:55,25836,25839,25832.5,25836.5,1299"
2026-01-16T16:55:00.000-05:00,"2026-01-07 23:00,25839.25,25850.25,25836,25837.25,2737"
2026-01-16T16:55:00.000-05:00,"2026-01-07 23:05,25837.5,25847.25,25829.75,25830.25,2126"
2026-01-16T16:55:00.000-05:00,"2026-01-07 23:10,25830.5,25834.25,25826.5,25827,1147"
2026-01-16T16:55:00.000-05:00,"2026-01-07 23:15,25828,25836.75,25822.5,25825,1536"
2026-01-16T16:55:00.000-05:00,"2026-01-07 23:20,25825.25,25832.5,25823,25827.75,867"
2026-01-16T16:55:00.000-05:00,"2026-01-07 23:25,25827.75,25830.25,25825,25829.5,699"
2026-01-16T16:55:00.000-05:00,"2026-01-07 23:30,25830,25831.5,25826.5,25829.5,590"
2026-01-16T16:55:00.000-05:00,"2026-01-07 23:35,25829.5,25833,25825.75,25832.25,578"
2026-01-16T16:55:00.000-05:00,"2026-01-07 23:40,25831.25,25835.5,25829.75,25832.5,628"
2026-01-16T16:55:00.000-05:00,"2026-01-07 23:45,25832.75,25834,25827.75,25830.25,596"
2026-01-16T16:55:00.000-05:00,"2026-01-07 23:50,25830.75,25831,25819,25822.25,1490"
2026-01-16T16:55:00.000-05:00,"2026-01-07 23:55,25822.25,25823.75,25818.25,25823.5,663"
2026-01-16T16:55:00.000-05:00,"2026-01-08 00:00,25822.75,25825.75,25818,25821.25,1428"
2026-01-16T16:55:00.000-05:00,"2026-01-08 00:05,25821.5,25824.5,25819.25,25821.25,529"
2026-01-16T16:55:00.000-05:00,"2026-01-08 00:10,25821,25822.75,25815,25821.75,1027"
2026-01-16T16:55:00.000-05:00,"2026-01-08 00:15,25822.75,25828,25821.25,25823.25,1122"
2026-01-16T16:55:00.000-05:00,"2026-01-08 00:20,25823.25,25825,25818.5,25820,806"
2026-01-16T16:55:00.000-05:00,"2026-01-08 00:25,25820,25821.25,25806.25,25810.5,2421"
2026-01-16T16:55:00.000-05:00,"2026-01-08 00:30,25810.5,25821,25810,25820.25,1813"
2026-01-16T16:55:00.000-05:00,"2026-01-08 00:35,25819.75,25835.75,25819,25830.5,2225"
2026-01-16T16:55:00.000-05:00,"2026-01-08 00:40,25830.5,25835,25827.5,25833.5,1151"
2026-01-16T16:55:00.000-05:00,"2026-01-08 00:45,25833.75,25841,25833.25,25839.5,1659"
2026-01-16T16:55:00.000-05:00,"2026-01-08 00:50,25838.75,25840,25833.75,25837.5,724"
2026-01-16T16:55:00.000-05:00,"2026-01-08 00:55,25837.5,25843.5,25833,25842.5,1150"
2026-01-16T16:55:00.000-05:00,"2026-01-08 01:00,25842,25844.25,25825.75,25827.25,1980"
2026-01-16T16:55:00.000-05:00,"2026-01-08 01:05,25826.75,25828.25,25816.5,25822,2113"
2026-01-16T16:55:00.000-05:00,"2026-01-08 01:10,25822.75,25825,25817.25,25820,996"
